Course Code,Course Name,Faculty,Co-teaching Faculty,Venue
23CSE101,Computational Problem Solving,Dr. Dhanya M Dhanalakshmy,,ABIII - F305
23ENG101,Technical Communication,Dr. Nandhini I,,ABIII - F305
23ENG101,Lab Session Technical Communication,Dr. Nandhini I,,AB1 Language Lab
23MAT107,Calculus,Dr. Selar E,,ABIII - F305
23MAT107,Calculus MATLAB,Dr. Selar E,,ABIII - F305
23EEE104,Introduction to Electrical & Electronics Engineering,Dr. K Ilango,,ABIII - F305
22ADM101,Foundations of Indian Heritage,Shreeram Kasturi,,ABIII - F305
22AVP103,Mastery Over Mind,Dr. Senthilkumar M,Ms. Bindhu K.R.,ABIII - F305
23CSE102,Computer Hardware Essentials,Mr. Sriram S,,ABIII - F305
23CSE101 (Lab),LAB Computational Problem Solving,Dr. Dhanya M Dhanalakshmy,Dr. N. Lalithamani, IT Lab-I Academic Block-II
23CSE102 (Lab),Computer Hardware Essentials,Mr. Sriram S,Dr. R Karthi Ms. Sathiya R R, Hardware Lab - Academic Block-III
23EEE184 (Lab),Basic Electrical & Electronics Engineering Practice,Dr. T Ananthan, Dr. Mekaladevi V, AB2 - EEE Lab
